Opportunity set,Query,Page,Clicks,Impressions,CTR,Average position,Country,Device,Export window,Opportunity reason,Best target page,Recommended action,Priority
Page-filter validation: Wrong-intent query,how much does a cruise liner cost to build,/,0,3,0%,81.67,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does it cost to rent a cruise ship,/,0,3,0%,94.33,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Ranking position 30-70,which cruise line has the best loyalty program,All pages query export,0,2,0%,44.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 44.5.",/loyalty,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,celebrity price tracker,All pages query export,0,2,0%,45.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,cruise price tracker,All pages query export,0,2,0%,67.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much is a cruise ship cost,All pages query export,0,2,0%,80.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,celebrity price tracker,/,0,2,0%,45.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,cruise price tracker,/,0,2,0%,67.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much is a cruise ship cost,/,0,2,0%,80.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does a royal caribbean cruise ship cost,All pages query export,0,1,0%,39,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator/royal-caribbean,H. Ignore or defer; intent is not real-cruise-cost planning,35
Ranking position 30-70,cunard loyalty tier,All pages query export,0,1,0%,48,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 48.",/loyalty,H. Ignore or defer; intent is not real-cruise-cost planning,35
Ranking position 30-70,what cruise lines match loyalty programs,All pages query export,0,1,0%,52,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 52.",/loyalty,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,cruise price tracker free,All pages query export,0,1,0%,55,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,cruise tracker price,All pages query export,0,1,0%,63,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Ranking position 30-70,best cruise line loyalty programs,All pages query export,0,1,0%,64,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 64.",/loyalty,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does a cruise cost to build,All pages query export,0,1,0%,72,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does a cruise ship cost to make,All pages query export,0,1,0%,72,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Review,web scraping for cruise prices,All pages query export,0,1,0%,80,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 80.",/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much would a cruise ship cost,All pages query export,0,1,0%,82,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does it cost to buy a cruise ship,All pages query export,0,1,0%,83,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does it cost to build cruise ship,All pages query export,0,1,0%,85,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,cost of building cruise ship,All pages query export,0,1,0%,86,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much cruise ship cost,All pages query export,0,1,0%,86,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much do cruise ship cost,All pages query export,0,1,0%,86,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much would it cost to buy a cruise ship,All pages query export,0,1,0%,88,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,cost to build cruise ship,All pages query export,0,1,0%,89,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does a new cruise ship cost,All pages query export,0,1,0%,95,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much to rent a cruise ship,All pages query export,0,1,0%,95,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much is it to build a cruise ship,All pages query export,0,1,0%,98,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does a royal caribbean cruise ship cost,/calculator/royal-caribbean,0,1,0%,39,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,cruise price tracker free,/,0,1,0%,55,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,cruise tracker price,/,0,1,0%,63,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does a cruise cost to build,/,0,1,0%,72,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does a cruise ship cost to make,/,0,1,0%,72,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Review,web scraping for cruise prices,/,0,1,0%,80,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much would a cruise ship cost,/,0,1,0%,82,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does it cost to buy a cruise ship,/,0,1,0%,83,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does it cost to build cruise ship,/,0,1,0%,85,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,cost of building cruise ship,/,0,1,0%,86,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much cruise ship cost,/,0,1,0%,86,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much do cruise ship cost,/,0,1,0%,86,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much would it cost to buy a cruise ship,/,0,1,0%,88,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,cost to build cruise ship,/,0,1,0%,89,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does a new cruise ship cost,/,0,1,0%,95,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much to rent a cruise ship,/,0,1,0%,95,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much is it to build a cruise ship,/,0,1,0%,98,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Top page opportunity,,/blog/virgin-voyages-vs-celebrity/,0,28,0%,18.68,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 28 impressions, 0 clicks, CTR 0%, avg position 18.68.",/blog/virgin-voyages-vs-celebrity/,"Review title/meta, internal links, and query-page fit before implementation.",32
Top page opportunity,,/loyalty/,0,77,0%,38.78,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 77 impressions, 0 clicks, CTR 0%, avg position 38.78.",/loyalty/,"Review title/meta, internal links, and query-page fit before implementation.",29
Top page opportunity,,/faq/,0,4,0%,5.5,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 4 impressions, 0 clicks, CTR 0%, avg position 5.5.",/faq/,"Review title/meta, internal links, and query-page fit before implementation.",26
Top page opportunity,,/terms/,0,4,0%,7.75,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 4 impressions, 0 clicks, CTR 0%, avg position 7.75.",/terms/,"Review title/meta, internal links, and query-page fit before implementation.",26
Top page opportunity,,/calculator/norwegian/,0,2,0%,4,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 2 impressions, 0 clicks, CTR 0%, avg position 4.",/calculator/norwegian/,"Review title/meta, internal links, and query-page fit before implementation.",26
Top page opportunity,,/compare/,0,1,0%,5,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 1 impressions, 0 clicks, CTR 0%, avg position 5.",/compare/,"Review title/meta, internal links, and query-page fit before implementation.",25
Top page opportunity,,/cruises,0,1,0%,5,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 1 impressions, 0 clicks, CTR 0%, avg position 5.",/cruises,"Review title/meta, internal links, and query-page fit before implementation.",25
Top page opportunity,,/guides/,0,1,0%,5,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 1 impressions, 0 clicks, CTR 0%, avg position 5.",/guides/,"Review title/meta, internal links, and query-page fit before implementation.",25
Top page opportunity,,/myday/,0,1,0%,5,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 1 impressions, 0 clicks, CTR 0%, avg position 5.",/myday/,"Review title/meta, internal links, and query-page fit before implementation.",25
Top page opportunity,,/ports/,0,1,0%,5,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 1 impressions, 0 clicks, CTR 0%, avg position 5.",/ports/,"Review title/meta, internal links, and query-page fit before implementation.",25
Top page opportunity,,/how-we-make-money/,0,1,0%,7,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 1 impressions, 0 clicks, CTR 0%, avg position 7.",/how-we-make-money/,"Review title/meta, internal links, and query-page fit before implementation.",25
Top page opportunity,,/calculator/,0,56,0%,50.75,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 56 impressions, 0 clicks, CTR 0%, avg position 50.75.",/calculator/,"Review title/meta, internal links, and query-page fit before implementation.",24
Top page opportunity,,/cruise-costs/,0,23,0%,70.13,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 23 impressions, 0 clicks, CTR 0%, avg position 70.13.",/cruise-costs/,"Review title/meta, internal links, and query-page fit before implementation.",16
Top page opportunity,,/cruises/,0,14,0%,51.71,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 14 impressions, 0 clicks, CTR 0%, avg position 51.71.",/cruises/,"Review title/meta, internal links, and query-page fit before implementation.",14
Top page opportunity,,/methodology/,0,12,0%,64,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 12 impressions, 0 clicks, CTR 0%, avg position 64.",/methodology/,"Review title/meta, internal links, and query-page fit before implementation.",13
Top page opportunity,,/blog/disney-cruise-vs-royal-caribbean-families/,0,4,0%,42,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 4 impressions, 0 clicks, CTR 0%, avg position 42.",/blog/disney-cruise-vs-royal-caribbean-families/,"Review title/meta, internal links, and query-page fit before implementation.",11
